poem_nb|title|text
1|Вяра|Ето - аз дишам,
1|Вяра|работя,
1|Вяра|живея
1|Вяра|и стихове пиша
1|Вяра|(тъй както умея).
1|Вяра|С живота под вежди
1|Вяра|се гледаме строго
1|Вяра|и боря се с него,
1|Вяра|доколкото мога.
1|Вяра|С живота сме в разпра,
1|Вяра|но ти не разбирай,
1|Вяра|че мразя живота.
1|Вяра|Напротив, напротив! -
1|Вяра|Дори да умирам,
1|Вяра|живота със грубите
1|Вяра|лапи челични
1|Вяра|аз пак ще обичам!
1|Вяра|Аз пак ще обичам!
1|Вяра|Да кажем, сега ми окачат
1|Вяра|въжето
1|Вяра|и питат:
1|Вяра|Как, искаш ли час да живееш?
1|Вяра|Веднага ще кресна:
1|Вяра|Свалете!
1|Вяра|Свалете!
1|Вяра|По-скоро свалете
1|Вяра|въжето, злодеи!
1|Вяра|За него - Живота -
1|Вяра|направил бих всичко. -
1|Вяра|Летял бих
1|Вяра|със пробна машина в небето,
1|Вяра|бих влезнал във взривна
1|Вяра|ракета, самичък,
1|Вяра|бих търсил
1|Вяра|в простора
1|Вяра|далечна
1|Вяра|планета.
1|Вяра|Но все пак ще чувствам
1|Вяра|приятния гъдел,
1|Вяра|да гледам как
1|Вяра|горе
1|Вяра|небето синее.
1|Вяра|Все пак ще чувствам
1|Вяра|приятния гъдел,
1|Вяра|че още живея,
1|Вяра|че още ще бъда.
1|Вяра|Но ето, да кажем,
1|Вяра|вий вземете, колко? -
1|Вяра|пшеничено зърно
1|Вяра|от моята вера,
1|Вяра|бих ревнал тогава,
1|Вяра|бих ревнал от болка
1|Вяра|като ранена
1|Вяра|в сърцето пантера.
1|Вяра|Какво ще остане
1|Вяра|от мене тогава? -
1|Вяра|Миг след грабежа
1|Вяра|ще бъда разнищен.
1|Вяра|И още по-ясно,
1|Вяра|и още по-право -
1|Вяра|миг след грабежа
1|Вяра|ще бъда аз нищо.
1|Вяра|Може би искате
1|Вяра|да я сразите
1|Вяра|моята вяра
1|Вяра|във дните честити,
1|Вяра|моята вяра,
1|Вяра|че утре ще бъде
1|Вяра|живота по-хубав,
1|Вяра|живота по-мъдър?
1|Вяра|А как ще щурмувате, моля?
1|Вяра|С куршуми?
1|Вяра|Не! Неуместно!
1|Вяра|Ресто! - Не струва! -
1|Вяра|Тя е бронирана
1|Вяра|здраво в гърдите
1|Вяра|и бронебойни патрони
1|Вяра|за нея
1|Вяра|няма открити!
1|Вяра|Няма открити!
2|Пролет в завода|Тя искаше да влезе с първа смяна,
2|Пролет в завода|ала моторът изруга
2|Пролет в завода|сърдито
2|Пролет в завода|Не може тъй,
2|Пролет в завода|аз тук съм отговорен,
2|Пролет в завода|без марка где?
2|Пролет в завода|Виж, портиера питай!
2|Пролет в завода|Но тя бе някак страшно упорита
2|Пролет в завода|и не попита портиера. -
2|Пролет в завода|Влезе.
2|Пролет в завода|Отвори някакъв прозорец горе
2|Пролет в завода|и скрито на мотора
2|Пролет в завода|се изплези.
2|Пролет в завода|И изведнъж запя една машина.
2|Пролет в завода|Но хората
2|Пролет в завода|работеха несръчно.
2|Пролет в завода|Разбрал коя е скритата причина,
2|Пролет в завода|моторът каза:
2|Пролет в завода|Аз ще я отлъча!
2|Пролет в завода|- Ще я отлъчиш ли? - попита със
2|Пролет в завода|насмешка
2|Пролет в завода|една добра чугунена бъркачка.
2|Пролет в завода|- Опитай се, бъбрива въртележка,
2|Пролет в завода|та ний за нея ще направим стачка.
2|Пролет в завода|Моторът млъкна. Вятърът донесе
2|Пролет в завода|отнейде
2|Пролет в завода|топъл лъх на чернозем,
2|Пролет в завода|един напев - широк и весел -
2|Пролет в завода|и стъпки
2|Пролет в завода|на напукани
2|Пролет в завода|нозе.
2|Пролет в завода|Онез, които някога са
2|Пролет в завода|порили
2|Пролет в завода|земята, пърхаха като коне.
2|Пролет в завода|А другите, прозорците разтворили,
2|Пролет в завода|сияеха пред
2|Пролет в завода|синьото
2|Пролет в завода|небе.
2|Пролет в завода|От папмашината изпсува
2|Пролет в завода|някой грубо.
2|Пролет в завода|Едно момиче весело запя.
2|Пролет в завода|Един младеж го стрелна
2|Пролет в завода|с поглед влюбен
2|Пролет в завода|и то поруменя.
2|Пролет в завода|Тогава влезе портиерът тихо
2|Пролет в завода|и каза:
2|Пролет в завода|Кой се контрабандно вмъкна?
2|Пролет в завода|Ала разбра, виновно се усмихна,
2|Пролет в завода|почеса се,
2|Пролет в завода|подсвирна,
2|Пролет в завода|после млъкна.
3|Завод|Завод. Над него облаци от дим.
3|Завод|Народът прост,
3|Завод|животът - тежък, скучен. -
