poem_nb|title|text
1|Faith|Here am I - breathing,
1|Faith|working,
1|Faith|living
1|Faith|and writing my poetry
1|Faith|(my best to it giving).
1|Faith|Life and I glower
1|Faith|across at each other
1|Faith|and with it I struggle
1|Faith|with all my power.
1|Faith|Life and I quarrel,
1|Faith|but don't draw the moral
1|Faith|that I despise it.
1|Faith|No, just the opposite!
1|Faith|Though I should perish,
1|Faith|life with its brutal
1|Faith|claws of steel
1|Faith|still would I cherish,
1|Faith|still would I cherish!
1|Faith|Suppose round my neck they tie fast
1|Faith|the rope
1|Faith|and they ask:
1|Faith|Would you like one more hour to live?
1|Faith|I would instantly cry:
1|Faith|Untie!
1|Faith|Untie!
1|Faith|Come, quickly untie
1|Faith|the rope, you devils!
1|Faith|For Life there is nothing
1|Faith|I would not dare.
1|Faith|I would fly
1|Faith|a prototype plane in the sky,
1|Faith|climb into a roaring
1|Faith|rocket, exploring
1|Faith|alone
1|Faith|in space
1|Faith|distant
1|Faith|planets.
1|Faith|Still would I feel
1|Faith|a joyous thrill
1|Faith|gazing
1|Faith|up
1|Faith|at the blue sky.
1|Faith|Still would I feel
1|Faith|a joyous thrill
1|Faith|to be alive,
1|Faith|to go on living.
1|Faith|But look, suppose
1|Faith|you took - how much? -
1|Faith|a single grain
1|Faith|from this my faith,
1|Faith|then would I rage,
1|Faith|I would rage from pain
1|Faith|like a panther
1|Faith|pierced to the heart.
1|Faith|For what of me
1|Faith|would there remain?
1|Faith|After the theft
1|Faith|I'd be distraught.
1|Faith|To put it plainly
1|Faith|and more directly -
1|Faith|after the theft
1|Faith|I would be nought.
1|Faith|Maybe you wish
1|Faith|you could erase
1|Faith|my faith
1|Faith|my faith
1|Faith|in happy days,
1|Faith|my faith
1|Faith|that tomorrow
1|Faith|life will be finer,
1|Faith|life will be wiser?
1|Faith|Pray, how will you smash it?
1|Faith|With bullets?
1|Faith|No! That is useless!
1|Faith|Stop! It's not worth it!
1|Faith|My faith has strong armour
1|Faith|in my sturdy breast
1|Faith|and bullets able to shatter
1|Faith|my faith
1|Faith|do not exist,
1|Faith|do not exist!
2|Spring In The Factory|She tried to get in with the morning shift,
2|Spring In The Factory|the motor grumbled,
2|Spring In The Factory|Looking stern and grim:
2|Spring In The Factory|You can't do that!
2|Spring In The Factory|I must account for it.
2|Spring In The Factory|Go ask the porter,
2|Spring In The Factory|if he'll let you in!
2|Spring In The Factory|But somehow she was full of willfulness
2|Spring In The Factory|and didn't ask the porter,
2|Spring In The Factory|just slipped through
2|Spring In The Factory|a dormer opened wide behind a press,
2|Spring In The Factory|then stuck her tongue out
2|Spring In The Factory|at the motor crew.
2|Spring In The Factory|And all at once an engine started humming,
2|Spring In The Factory|the workers seemed
2|Spring In The Factory|so clumsy and so slow,
2|Spring In The Factory|the motor, what the motor was,
2|Spring In The Factory|soon seeing,
2|Spring In The Factory|cried out in anger:
2|Spring In The Factory|She has got to go!
2|Spring In The Factory|Oh, no! a ladle of cast-iron cried
2|Spring In The Factory|with an ironic smile on his kind face.
2|Spring In The Factory|You silly, blatterring fathead, just you try it!
2|Spring In The Factory|We'll go on strike for her, if that's the case.
2|Spring In The Factory|The motor hushed. The breeze brought
2|Spring In The Factory|on its wings
2|Spring In The Factory|the teasing smell of earth
2|Spring In The Factory|from far away.
2|Spring In The Factory|A distant hum about the engine rings,
2|Spring In The Factory|and steps
