line|text
1|Ето - аз дишам,
2|работя,
3|живея
4|и стихове пиша
5|(тъй както умея).
6|С живота под вежди
7|се гледаме строго
8|и боря се с него,
9|доколкото мога.
10|С живота сме в разпра,
11|но ти не разбирай,
12|че мразя живота.
13|Напротив, напротив! -
14|Дори да умирам,
15|живота със грубите
16|лапи челични
17|аз пак ще обичам!
18|Аз пак ще обичам!
19|Да кажем, сега ми окачат
20|въжето
21|и питат:
22|Как, искаш ли час да живееш?
23|Веднага ще кресна:
24|Свалете!
25|Свалете!
26|По-скоро свалете
27|въжето, злодеи!
28|За него - Живота -
29|направил бих всичко. -
30|Летял бих
31|със пробна машина в небето,
32|бих влезнал във взривна
33|ракета, самичък,
34|бих търсил
35|в простора
36|далечна
37|планета.
38|Но все пак ще чувствам
39|приятния гъдел,
40|да гледам как
41|горе
42|небето синее.
43|Все пак ще чувствам
44|приятния гъдел,
45|че още живея,
46|че още ще бъда.
47|Но ето, да кажем,
48|вий вземете, колко? -
49|пшеничено зърно
50|от моята вера,
51|бих ревнал тогава,
52|бих ревнал от болка
53|като ранена
54|в сърцето пантера.
55|Какво ще остане
56|от мене тогава? -
57|Миг след грабежа
58|ще бъда разнищен.
59|И още по-ясно,
60|и още по-право -
61|миг след грабежа
62|ще бъда аз нищо.
63|Може би искате
64|да я сразите
65|моята вяра
66|във дните честити,
67|моята вяра,
68|че утре ще бъде
69|живота по-хубав,
70|живота по-мъдър?
71|А как ще щурмувате, моля?
72|С куршуми?
73|Не! Неуместно!
74|Ресто! - Не струва! -
75|Тя е бронирана
76|здраво в гърдите
77|и бронебойни патрони
78|за нея
79|няма открити!
80|Няма открити!
