line|text
1|Voil? - je respire,
2|je travaille, je vis
3|et j'?cris des vers
4|(? ma fa?on).
5|La vie et moi, en fron?ant les sourcils,
6|nous nous mesurons du regard
7|et je luttle avec elle
8|autant que je le puis.
9|Avec la vie nous sommes aux prises,
10|mais ne va pas croire, pas croire
11|que je hais la vie.
12|Au contraire, au contraire!
13|M?me si j'allais mourir,
14|la vie, avec sa brutale
15|poigne d'acier
16|je l'aimerais quand m?me!
17|Je l'aimerais quand m?me!
18|Supposons qu'? pr?sent on me passe au cou
19|la corde
20|et qu'on me demande
21|Dis, veux-tu vivre une heure encore?
22|Aussit?t je crierais:
23|Enlevez!
24|Enlevez!
25|Enlevez plus vite
26|la corde, sc?l?rats!
27|Pour elle - La Vie -
28|j'aurais tout fait.
29|J'aurais vol?
30|sur un appareil d'essai dans le ciel,
31|je serais entr? dans  une fus?e
32|explosive, tout seul,
33|j'aurais cherch?
34|dans l'espace
35|une inaccessible
36|plan?te.
37|J'?prouverais du moins
38|l'agr?able frisson
39|de voir comment
40|l?-haut
41|le ciel est bleu.
42|J'?prouverais du moins
43|l'agr?able frisson
44|de vivre encore,
45|d' avoir encore ? vivre.
46|Mais voil?, supposons
47|que vous preniez - Combien? -
48|rien qu'un grain
49|de ma foi,
50|alors je hurlerais
51|je hurlerais de douleur
52|comme une panth?re
53|bless?e ? mort.
54|Alors, de moi
55|que me resterait-il?
56|D?s apr?s ce pillage
57|je serais d?sempar?.
58|Et plus clairement
59|et plus exactement encore.
60|D?s apr? ce pillage
61|je ne serais plus rien.
62|Peut-?tre voules-vous
63|l'abattre,
64|ma foi en des jours heureux,
65|ma foi en demain
66|qui fera la vie plus belle,
67|plus pleine de sagesse?
68|Et comment l'attaqueriezvous, s'il vous
69|pla?t?
70|Avec des balles?
71|Non! D?plac?!
72|Pas la peine! - Cela ne vaut rien! -
73|Elle est cuirass?e
74|solidement dans ma poitrine
75|et les balles pouvant percer
76|son armure
77|ne sont pas invent?es!
78|Ne sont pas invent?es!
