line|text
1|Sieh - ich lebe
2|und atme
3|wie jedermann,
4|ich arbeite, dichte
5|(so gut ich kann).
6|Das Leben und ich, wirschauen
7|unter ger?mpften Brauen uns an,
8|und ich schlag mich mit ihm,
9|so gut ich nur kann.
10|Wir sind miteinander in Zwist,
11|doch fasse
12|die Wahrheit beim Schopfe:
13|Ich k?mpfe nicht, weil
14|ich das Leben hasse -
15|im Gegenteil, ganz in Gegenteil!
16|Seibst noch im Sterben,
17|selbst unter den Hieben
18|seiner st?hlernen Tatzen werd ich es lieben.
19|Ich werd es noch immer lieben!
20|Wenn man jetzt den Strick
21|um den Hals mir legt,
22|mich fragt.
23|Willst du leben? Noch eine Stunde?
24|Weg mit dem Strick!
25|schrei ich auf
26|erregt,
27|weg mit dem Strick,
28|aber schnell, ihr Hunde!
29|Bin bereith - da ich
30|alles f?rs Leben t?te -
31|in den Himmel
32|im Probeflugzeug zu stechen,
33|zum einsamen Flug in der Weltraumrakete
34|auf die Suche
35|nacht fernen Stern
36|aufzubrechen.
37|Trotz des Stricks
38|w?rd es prickeln
39|auf meiner Haut
40|beim Anblick, des Himmels,
41|der oben blaut.
42|Ich empfinde ein Prickeln.
43|Lustvoll und scharf,
44|weil ich leb,
45|weil ich leben und leben darf.
46|Und wolltet ihr einmal vielleicht
47|meinem Glauben
48| - wie viel? -
49|nur w?rde br?llen,
50|br?llen vor Schmerzen,
51|wie ein Panter br?llt
52|mit verwundetem Herzen.
53|was bleibt von mir ?brig?
54|Mich wird sofort
55|dieser Diebstahl zerfasern
56|mit seinen Krallen.
57|Noch klarer:
58|bestohlen,
59|werd ich an Ort
60|und Stelle
61| - sofort -
62|in ein Nichts zerfallen.
63|Ihr denkt wahrscheinlich,
64|da? eure Tat
65|meinen Glauben
66|an selige Tage vernichtet,
67|meinen Glauben daran,
68|da? die Zeit, die uns naht,
69|ein weiseres, sch?neres Leben
70|errichtet.
71|Wie greift ihr ihn an?
72|Mit Kugeln? Du mu?t
73|es dir merken:
74|Das wird euch mi?lingen!
75|Meinen Glauben sch?tzt eine gepanzerte Brust,
76|und Panzergeschosse,
77|sie zu durchdringen
78|und meinen Glauben auch
79|nur zu verwunden,
80|sind nich erfunden,
81|noch nicht erfunden!
