line|text
1|Дышу тружусь я,
2|по жизни
3|шагая,
4|и так, как умею,
5|стихи я слагаю.
6|И жизни я строго
7|гляжу по ресницам
8|и с нею не раз мне
9|случалось сразиться.
10|Я с жизнью в раздоре,
11|но ты не подумай,
12|что, с нею поспоря,
13|ее не люблю я.
14|Напротив, напротив!
15|И в час мой предсмертный,
16|зажат в ее лапах,
17|железных и грубых, -
18|о ней лишь спою я!
19|О ней лишь спою я! 
20|Пускай мне веревку накинут
21|на шею
22|и спросят:
23|Ты час еще хочешь прожить ли?
24|Я крикну немедля:
25|Скорее!
26|Скорее!
27|Снимите же петлю
28|скорее, злодеи! 
29|Для Жизни готов я
30|на всякое дело -
31|готов самолеты испытывать смело,
32|готов одиноко на быстрой ракете
33|стремиться
34|в просторах
35|к далекой планете. 
36|И был бы я счастлив
37|своею судьбою -
38|смотрел бы, как звезды
39|горят надо мною.
40|И счастлив я был бы
41|судьбою своею, -
42|что с жизнью я связан,
43|что полон я ею. 
44|Но если б вы взяли
45|не полную меру,
46|а только крупицу,
47|зерно
48|моей веры, -
49|тогда б закричал я,
50|сраженный потерей,
51|завыл бы я
52|раненной
53|в сердце
54|пантерой.
55|Что мне в этой жизни
56|осталось тогда бы?
57|Я жил бы,
58|конец
59|уничтожен,
60|ограблен.
61|Сказать ли яснее?
62|Сказать ли вернее?
63|Я был бы
64|всех нищих на свете
65|беднее. 
66|В грядущее счастье
67|хотите, быть может,
68|вы светлую веру
69|во мне уничтожить?
70|Убить мою веру,
71|быть может, вам надо
72|в грядущую мудрость,
73|в грядущую радост? 
74|Вы пулей убить мою веру хотите?
75|Нет! Невозможно!
76|Бросьте! Не выйдет!
77|Она за бронею
78|в груди моей скрыта.
79|И пуля,
80|что эту броню бы пробила,
81|еще не отлита!
82|Еще не отлита!
